2026-03-03 09:20:43.015 | INFO     | main:lifespan:32 - 🚀 [STARTUP] Iniciando TravelCompanion AI... (PID: 19128)
2026-03-03 09:20:43.432 | INFO     | app.services.trip_service:_load_trips:27 - 📅 14 viagens carregadas para monitoramento.
2026-03-03 09:20:43.432 | INFO     | app.services.trip_service:__init__:20 - ✅ TripService inicializado (Base: ./data\trips.json)
2026-03-03 09:20:43.433 | WARNING  | app.services.n8n_service:__init__:19 - ⚠️ URL do Webhook do n8n não configurada (modo simulação)
2026-03-03 09:20:43.433 | INFO     | app.services.weather_service:__init__:17 - ✅ Weather Service inicializado
2026-03-03 09:20:43.434 | INFO     | app.services.search_service:__init__:17 - ✅ Search Service (Tavily) inicializado
2026-03-03 09:20:43.435 | INFO     | app.services.trip_service:_load_trips:27 - 📅 14 viagens carregadas para monitoramento.
2026-03-03 09:20:43.435 | INFO     | app.services.trip_service:__init__:20 - ✅ TripService inicializado (Base: ./data\trips.json)
2026-03-03 09:20:44.606 | INFO     | app.services.openai_service:__init__:18 - ✅ OpenAI Service inicializado
2026-03-03 09:20:44.606 | INFO     | app.services.connectivity_service:__init__:18 - ✅ Connectivity Service inicializado
2026-03-03 09:20:44.606 | INFO     | app.services.scheduler_service:__init__:25 - ✅ SchedulerService inicializado
2026-03-03 09:20:44.622 | INFO     | app.services.scheduler_service:start:91 - ⏰ Scheduler iniciado (Verificação de alertas, auditoria e limpeza de dados)
2026-03-03 09:20:44.622 | INFO     | main:lifespan:42 - 📅 [SCHEDULER] Agendador ativado com sucesso.
2026-03-03 09:20:44.622 | INFO     | main:lifespan:46 - 🌍 [ENVIRONMENT] Modo: production | Port: 8000
2026-03-03 09:21:25.485 | INFO     | app.api.routes:get_agent:66 - ⚙️ Inicializando TravelAgent para a API...
2026-03-03 09:21:25.494 | INFO     | app.api.routes:get_agent:66 - ⚙️ Inicializando TravelAgent para a API...
2026-03-03 09:21:25.504 | INFO     | app.agents.orchestrator:create_agent_graph:314 - ✅ Grafo LangGraph compilado COM Motor de Memória Persistente
2026-03-03 09:21:25.506 | INFO     | app.agents.orchestrator:create_agent_graph:314 - ✅ Grafo LangGraph compilado COM Motor de Memória Persistente
2026-03-03 09:21:25.506 | INFO     | app.agents.orchestrator:__init__:330 - 🚀 TravelAgent inicializado
2026-03-03 09:21:25.507 | INFO     | app.agents.orchestrator:__init__:330 - 🚀 TravelAgent inicializado
2026-03-03 09:21:25.558 | INFO     | app.api.routes:chat_endpoint:110 - 📡 [INCOMING] Recebido de n8n: 5511999999999
2026-03-03 09:21:25.564 | INFO     | app.services.trip_service:_load_trips:27 - 📅 14 viagens carregadas para monitoramento.
2026-03-03 09:21:25.564 | INFO     | app.services.trip_service:__init__:20 - ✅ TripService inicializado (Base: ./data\trips.json)
2026-03-03 09:21:25.570 | INFO     | app.agents.orchestrator:chat:334 - 💬 Usuário: Teste de deduplicação (Thread: 551199999999)
2026-03-03 09:21:25.590 | INFO     | app.agents.orchestrator:call_model:37 - 🤖 Acionando OpenAI Agent...
2026-03-03 09:21:25.591 | INFO     | app.services.trip_service:_load_trips:27 - 📅 14 viagens carregadas para monitoramento.
2026-03-03 09:21:25.592 | INFO     | app.services.trip_service:__init__:20 - ✅ TripService inicializado (Base: ./data\trips.json)
2026-03-03 09:21:28.552 | INFO     | app.services.rag_service:_load_data:41 - 📂 9 documentos carregados da memória.
2026-03-03 09:21:28.553 | INFO     | app.services.rag_service:__init__:29 - ✅ RAG Service NumPy inicializado (Base em: ./data/chroma_db\vector_data.json)
2026-03-03 09:21:28.553 | INFO     | app.services.rag_service:query:174 - 🔍 Buscando no RAG: '[PRIMEIRA MENSAGEM DO USUÁRIO - APRESENTE-SE DE GALA COMO SEVEN ASSISTANT CONCIERGE] Teste de deduplicação' (Usuario: 551199999999)
2026-03-03 09:21:29.518 | INFO     | app.agents.orchestrator:call_model:134 - ℹ️ RAG não retornou documentos relevantes para esta consulta.
2026-03-03 09:21:33.078 | INFO     | app.agents.orchestrator:route_after_agent:275 - ✅ Finalizando Orquestração...
2026-03-03 09:21:33.082 | INFO     | app.agents.orchestrator:chat:358 - 🤖 Agente: 🌟 Olá! Sou o **Seven Assistant**, seu concierge de luxo para esta viagem incrível! Estou aqui para g...
2026-03-03 09:21:33.082 | WARNING  | app.services.n8n_service:__init__:19 - ⚠️ URL do Webhook do n8n não configurada (modo simulação)
